pca_true	pca_wg_rom_lim	pca_std_rom_lim	pca_popkin_rom	pca_wg_rom	pca_std_rom	pca_popkin_mor	pca_wg_mor	pca_std_mor	lmm_true	lmm_wg_rom_lim	lmm_std_rom_lim	lmm_popkin_rom	lmm_wg_rom	lmm_std_rom	lmm_popkin_mor	lmm_wg_mor	lmm_std_mor
1	0.5086141	0.4510549	0.417213	0.4808134	0.4342467	0.207404	0.371244	0.4160257	0.0229864	0.0229699	0.0229875	0.0226796	0.0226814	0.0226886	0.022281107518583233	0.0229886	0.0229843
0.5086141	1	0.9314119	0.361597	0.873215	0.8529424	0.1757863	0.4200184	0.6977855	0.0229553	0.0229436	0.0229429	0.0226378	0.0226327	0.0226413	0.022303411535657815	0.0229996	0.0230109
0.4510549	0.9314119	1	0.3397471	0.8181097	0.9046834	0.1702742	0.3969127	0.7030721	0.0229838	0.0229603	0.0229751	0.0227017	0.0226802	0.0226982	0.022294227528627104	0.023	0.0230226
0.417213	0.361597	0.3397471	1	0.386329	0.3367649	0.2286491	0.3202561	0.3358373	0.0229605	0.0229817	0.0229576	0.0225285	0.0225482	0.0225279	0.022196231145914798	0.0230101	0.0230092
0.4808134	0.873215	0.8181097	0.386329	1	0.8876118	0.1829657	0.4390143	0.7192333	0.0229738	0.0229794	0.022975	0.0226595	0.0226424	0.022657	0.02227686874610752	0.0229975	0.0229932
0.4342467	0.8529424	0.9046834	0.3367649	0.8876118	1	0.1738115	0.4067775	0.7427852	0.0229885	0.0230003	0.0229894	0.0226635	0.0226778	0.0226729	0.0222597118098963	0.0230025	0.0229985
0.207404	0.1757863	0.1702742	0.2286491	0.1829657	0.1738115	1	0.2105819	0.1751121	0.0227293	0.0227237	0.0227302	0.022366	0.0223881	0.0223712	0.021894067222289	0.0226944	0.0226763
0.371244	0.4200184	0.3969127	0.3202561	0.4390143	0.4067775	0.2105819	1	0.4792249	0.0230038	0.0230028	0.023004	0.0226705	0.0226611	0.022667	0.02215989881040869	0.0229014	0.0228909
0.4160257	0.6977855	0.7030721	0.3358373	0.7192333	0.7427852	0.1751121	0.4792249	1	0.0229825	0.0229923	0.0229859	0.0225991	0.0226028	0.0225975	0.02225486749849549	0.0230193	0.0230075
0.0229864	0.0229553	0.0229838	0.0229605	0.0229738	0.0229885	0.0227293	0.0230038	0.0229825	1	0.9966735	1	0.1590444	0.1589001	0.1590314	0.1184064758754806	0.1409072	0.1410595
0.0229699	0.0229436	0.0229603	0.0229817	0.0229794	0.0230003	0.0227237	0.0230028	0.0229923	0.9966735	1	0.9982023	0.1586455	0.1587612	0.1586835	0.118185756937281	0.1407652	0.140832
0.0229875	0.0229429	0.0229751	0.0229576	0.022975	0.0229894	0.0227302	0.023004	0.0229859	1	0.9982023	1	0.1589936	0.1588834	0.1590039	0.1183737767735251	0.1408997	0.1410307
0.0226796	0.0226378	0.0227017	0.0225285	0.0226595	0.0226635	0.022366	0.0226705	0.0225991	0.1590444	0.1586455	0.1589936	1	0.9957274	0.9999968	0.1479350769422989	0.1817918	0.1821586
0.0226814	0.0226327	0.0226802	0.0225482	0.0226424	0.0226778	0.0223881	0.0226611	0.0226028	0.1589001	0.1587612	0.1588834	0.9957274	1	0.998072	0.1476556207283644	0.1818712	0.1820367
0.0226886	0.0226413	0.0226982	0.0225279	0.022657	0.0226729	0.0223712	0.022667	0.0225975	0.1590314	0.1586835	0.1590039	0.9999968	0.998072	1	0.14789531321955054	0.1818361	0.1821664
0.022281107518583233	0.022303411535657815	0.022294227528627104	0.022196231145914798	0.02227686874610752	0.0222597118098963	0.021894067222289	0.02215989881040869	0.02225486749849549	0.1184064758754806	0.118185756937281	0.1183737767735251	0.1479350769422989	0.1476556207283644	0.14789531321955054	1	0.5631479708037389	0.565089227674461
0.0229886	0.0229996	0.023	0.0230101	0.0229975	0.0230025	0.0226944	0.0229014	0.0230193	0.1409072	0.1407652	0.1408997	0.1817918	0.1818712	0.1818361	0.5631479708037389	1	0.9941283
0.0229843	0.0230109	0.0230226	0.0230092	0.0229932	0.0229985	0.0226763	0.0228909	0.0230075	0.1410595	0.140832	0.1410307	0.1821586	0.1820367	0.1821664	0.565089227674461	0.9941283	1
