pca_true	pca_wg_rom_lim	pca_std_rom_lim	pca_popkin_rom	pca_wg_rom	pca_std_rom	pca_popkin_mor	pca_wg_mor	pca_std_mor	lmm_true	lmm_wg_rom_lim	lmm_std_rom_lim	lmm_popkin_rom	lmm_wg_rom	lmm_std_rom	lmm_popkin_mor	lmm_wg_mor	lmm_std_mor
1	0.6419479	0.5870462	0.5131208	0.5943921	0.5659501	0.2945941	0.4587768	0.5319935	0.0537945	0.0536807	0.0537595	0.0535219	0.0534966	0.0535228	0.0517162	0.0518628	0.0518546
0.6419479	1	0.969054	0.4280725	0.9114084	0.9160468	0.2472143	0.5283612	0.8024309	0.0537332	0.0536479	0.053714	0.0534309	0.0534145	0.0534428	0.0516764	0.0517244	0.0517605
0.5870462	0.969054	1	0.4081325	0.878554	0.9465593	0.2368079	0.5016399	0.8130915	0.0537155	0.0536787	0.0537136	0.053466	0.053396	0.0534543	0.0516446	0.0517329	0.0517543
0.5131208	0.4280725	0.4081325	1	0.4673891	0.4171356	0.323128	0.3743005	0.4114053	0.0539348	0.0539219	0.0539518	0.053789	0.0537663	0.0537743	0.0520686	0.0522378	0.0522746
0.5943921	0.9114084	0.878554	0.4673891	1	0.9325025	0.2528972	0.5549527	0.8156888	0.053694	0.0536282	0.0537025	0.0533739	0.0532971	0.0533693	0.0515936	0.0516902	0.0517422
0.5659501	0.9160468	0.9465593	0.4171356	0.9325025	1	0.2370386	0.5181108	0.84954	0.0536356	0.0535542	0.0536544	0.0533846	0.0533362	0.0533761	0.0515611	0.0516658	0.0517304
0.2945941	0.2472143	0.2368079	0.323128	0.2528972	0.2370386	1	0.2845695	0.2398738	0.0533692	0.0533391	0.0533732	0.05321	0.0532021	0.0532057	0.0516856	0.0518256	0.0518799
0.4587768	0.5283612	0.5016399	0.3743005	0.5549527	0.5181108	0.2845695	1	0.5641531	0.0537289	0.0536751	0.0537376	0.0534843	0.0534045	0.0534732	0.0517161	0.0518068	0.0518406
0.5319935	0.8024309	0.8130915	0.4114053	0.8156888	0.84954	0.2398738	0.5641531	1	0.053662	0.0536282	0.0536564	0.0534675	0.0534106	0.0534515	0.0516598	0.051734	0.0518028
0.0537945	0.0537332	0.0537155	0.0539348	0.053694	0.0536356	0.0533692	0.0537289	0.053662	1	0.9383563	0.9997801	0.408913	0.3931775	0.4086137	0.28595	0.2962157	0.3019368
0.0536807	0.0536479	0.0536787	0.0539219	0.0536282	0.0535542	0.0533391	0.0536751	0.0536282	0.9383563	1	0.9513409	0.390182	0.4065666	0.3936596	0.2752084	0.3008026	0.2983594
0.0537595	0.053714	0.0537136	0.0539518	0.0537025	0.0536544	0.0533732	0.0537376	0.0536564	0.9997801	0.9513409	1	0.4076811	0.3958227	0.4087228	0.2846084	0.2971611	0.3021037
0.0535219	0.0534309	0.053466	0.053789	0.0533739	0.0533846	0.05321	0.0534843	0.0534675	0.408913	0.390182	0.4076811	1	0.9358604	0.9993664	0.329919	0.3429259	0.3511733
0.0534966	0.0534145	0.053396	0.0537663	0.0532971	0.0533362	0.0532021	0.0534045	0.0534106	0.3931775	0.4065666	0.3958227	0.9358604	1	0.952567	0.3165703	0.3498182	0.3470837
0.0535228	0.0534428	0.0534543	0.0537743	0.0533693	0.0533761	0.0532057	0.0534732	0.0534515	0.4086137	0.3936596	0.4087228	0.9993664	0.952567	1	0.3277306	0.3446694	0.3515333
0.0517162	0.0516764	0.0516446	0.0520686	0.0515936	0.0515611	0.0516856	0.0517161	0.0516598	0.28595	0.2752084	0.2846084	0.329919	0.3165703	0.3277306	1	0.7428735	0.795157
0.0518628	0.0517244	0.0517329	0.0522378	0.0516902	0.0516658	0.0518256	0.0518068	0.051734	0.2962157	0.3008026	0.2971611	0.3429259	0.3498182	0.3446694	0.7428735	1	0.9489971
0.0518546	0.0517605	0.0517543	0.0522746	0.0517422	0.0517304	0.0518799	0.0518406	0.0518028	0.3019368	0.2983594	0.3021037	0.3511733	0.3470837	0.3515333	0.795157	0.9489971	1
