pca_true	pca_wg_rom_lim	pca_std_rom_lim	pca_popkin_rom	pca_wg_rom	pca_std_rom	pca_popkin_mor	pca_wg_mor	pca_std_mor	lmm_true	lmm_wg_rom_lim	lmm_std_rom_lim	lmm_popkin_rom	lmm_wg_rom	lmm_std_rom	lmm_popkin_mor	lmm_wg_mor	lmm_std_mor
1	0.7233853	0.6755436	0.6114154	0.6840266	0.6579638	0.3974452	0.5713381	0.6291556	0.0978428	0.0983041	0.0979231	0.0973653	0.0978327	0.0974375	0.093901	0.0956584	0.0952932
0.7233853	1	0.9883208	0.5353552	0.946818	0.9509232	0.3491922	0.6304047	0.8598504	0.0977914	0.0982565	0.0978438	0.0972389	0.0977164	0.0973418	0.0938204	0.0955312	0.0951559
0.6755436	0.9883208	1	0.5162801	0.9224454	0.9719404	0.3387984	0.6061712	0.8671015	0.0978865	0.0983306	0.0979351	0.0972702	0.0977142	0.0973511	0.0938104	0.0955958	0.0951972
0.6114154	0.5353552	0.5162801	1	0.5708077	0.523525	0.425186	0.4915591	0.5182187	0.0979252	0.0983948	0.0979937	0.0975115	0.0979768	0.0975935	0.0941572	0.0960147	0.0956503
0.6840266	0.946818	0.9224454	0.5708077	1	0.9643609	0.354548	0.6538115	0.8707141	0.0977373	0.0981994	0.0978073	0.0972505	0.0977398	0.0973426	0.0936994	0.0955472	0.0951336
0.6579638	0.9509232	0.9719404	0.523525	0.9643609	1	0.3388606	0.6198148	0.8974399	0.0978012	0.0982407	0.097867	0.097261	0.0977448	0.0973433	0.0937506	0.0955482	0.0951716
0.3974452	0.3491922	0.3387984	0.425186	0.354548	0.3388606	1	0.3911536	0.3410202	0.0969009	0.0973328	0.0969648	0.0965882	0.097072	0.0966845	0.0936216	0.095375	0.0950323
0.5713381	0.6304047	0.6061712	0.4915591	0.6538115	0.6198148	0.3911536	1	0.6590676	0.0976702	0.0981579	0.0977454	0.0971838	0.0976487	0.0972706	0.0936549	0.0954949	0.0951331
0.6291556	0.8598504	0.8671015	0.5182187	0.8707141	0.8974399	0.3410202	0.6590676	1	0.097836	0.0982823	0.0978964	0.097252	0.0977229	0.0973393	0.09379	0.0955662	0.0951751
0.0978428	0.0977914	0.0978865	0.0979252	0.0977373	0.0978012	0.0969009	0.0976702	0.097836	1	0.9975618	1	0.5098005	0.5071186	0.5099195	0.3995715	0.407182	0.4082912
0.0983041	0.0982565	0.0983306	0.0983948	0.0981994	0.0982407	0.0973328	0.0981579	0.0982823	0.9975618	1	0.9985272	0.5045571	0.5094942	0.5057876	0.3936389	0.4083455	0.407185
0.0979231	0.0978438	0.0979351	0.0979937	0.0978073	0.097867	0.0969648	0.0977454	0.0978964	1	0.9985272	1	0.5095307	0.507838	0.5098182	0.3988204	0.4074839	0.4082902
0.0973653	0.0972389	0.0972702	0.0975115	0.0972505	0.097261	0.0965882	0.0971838	0.097252	0.5098005	0.5045571	0.5095307	1	0.9974602	1	0.452187	0.4606625	0.4625408
0.0978327	0.0977164	0.0977142	0.0979768	0.0977398	0.0977448	0.097072	0.0976487	0.0977229	0.5071186	0.5094942	0.507838	0.9974602	1	0.9986831	0.445156	0.4625778	0.4614078
0.0974375	0.0973418	0.0973511	0.0975935	0.0973426	0.0973433	0.0966845	0.0972706	0.0973393	0.5099195	0.5057876	0.5098182	1	0.9986831	1	0.4510628	0.4612	0.4625667
0.093901	0.0938204	0.0938104	0.0941572	0.0936994	0.0937506	0.0936216	0.0936549	0.09379	0.3995715	0.3936389	0.3988204	0.452187	0.445156	0.4510628	1	0.9246827	0.9543274
0.0956584	0.0955312	0.0955958	0.0960147	0.0955472	0.0955482	0.095375	0.0954949	0.0955662	0.407182	0.4083455	0.4074839	0.4606625	0.4625778	0.4612	0.9246827	1	0.9989624
0.0952932	0.0951559	0.0951972	0.0956503	0.0951336	0.0951716	0.0950323	0.0951331	0.0951751	0.4082912	0.407185	0.4082902	0.4625408	0.4614078	0.4625667	0.9543274	0.9989624	1
