pca_true	pca_wg_rom_lim	pca_std_rom_lim	pca_popkin_rom	pca_wg_rom	pca_std_rom	pca_popkin_mor	pca_wg_mor	pca_std_mor	lmm_true	lmm_wg_rom_lim	lmm_std_rom_lim	lmm_popkin_rom	lmm_wg_rom	lmm_std_rom	lmm_popkin_mor	lmm_wg_mor	lmm_std_mor
1	0.6202268	0.5691355	0.5394459	0.597166	0.5552805	0.3249937	0.5055638	0.5405003	0.0488056	0.0488532	0.0488078	0.0479103	0.0479822	0.0479209	0.048198274436094396	0.0484054	0.0483255
0.6202268	1	0.9642479	0.4866916	0.918828	0.9018149	0.2912711	0.5478972	0.7801269	0.0487972	0.0488985	0.0488104	0.0479197	0.0479983	0.0479381	0.04827679265004926	0.048428	0.048356
0.5691355	0.9642479	1	0.4658533	0.8753334	0.9413624	0.2851213	0.5256261	0.7831853	0.0487938	0.0488697	0.0488084	0.0479195	0.0479797	0.0479334	0.048276489880586713	0.0484271	0.0483561
0.5394459	0.4866916	0.4658533	1	0.5104759	0.4640796	0.3493118	0.4532238	0.463386	0.0488375	0.048899	0.048847	0.0478194	0.047896	0.0478392	0.048297078204040174	0.0484001	0.0483232
0.597166	0.918828	0.8753334	0.5104759	1	0.9314817	0.2974429	0.5640002	0.7985102	0.0488199	0.0488944	0.0488273	0.0479184	0.0479945	0.0479311	0.048248937859494585	0.0483819	0.0483107
0.5552805	0.9018149	0.9413624	0.4640796	0.9314817	1	0.2881328	0.5338134	0.8171735	0.0488547	0.0489244	0.0488699	0.0478871	0.0479701	0.0479012	0.04827931572890386	0.0484334	0.0483565
0.3249937	0.2912711	0.2851213	0.3493118	0.2974429	0.2881328	1	0.3305092	0.2900069	0.0482924	0.0483622	0.0483059	0.0474286	0.0475156	0.0474416	0.0478079036757121	0.0479377	0.0478656
0.5055638	0.5478972	0.5256261	0.4532238	0.5640002	0.5338134	0.3305092	1	0.5950809	0.0488352	0.0489003	0.0488442	0.0478702	0.047944	0.0478774	0.04828809604331783	0.0484383	0.0483646
0.5405003	0.7801269	0.7831853	0.463386	0.7985102	0.8171735	0.2900069	0.5950809	1	0.0488026	0.0488718	0.0488141	0.0478562	0.0479449	0.0478777	0.04830262897752027	0.048421	0.0483472
0.0488056	0.0487972	0.0487938	0.0488375	0.0488199	0.0488547	0.0482924	0.0488352	0.0488026	1	1	1	0.2341225	0.2342681	0.2341552	0.1898463434885239	0.2116265	0.211538
0.0488532	0.0488985	0.0488697	0.048899	0.0488944	0.0489244	0.0483622	0.0489003	0.0488718	1	1	1	0.2339774	0.2341814	0.2340214	0.189730988323292	0.2115613	0.2113909
0.0488078	0.0488104	0.0488084	0.048847	0.0488273	0.0488699	0.0483059	0.0488442	0.0488141	1	1	1	0.2341047	0.234262	0.2341398	0.18984422410228602	0.2116143	0.2115304
0.0479103	0.0479197	0.0479195	0.0478194	0.0479184	0.0478871	0.0474286	0.0478702	0.0478562	0.2341225	0.2339774	0.2341047	1	1	1	0.2286310107181399	0.2596267	0.2595155
0.0479822	0.0479983	0.0479797	0.047896	0.0479945	0.0479701	0.0475156	0.047944	0.0479449	0.2342681	0.2341814	0.234262	1	1	1	0.22850849000896098	0.2595804	0.2593805
0.0479209	0.0479381	0.0479334	0.0478392	0.0479311	0.0479012	0.0474416	0.0478774	0.0478777	0.2341552	0.2340214	0.2341398	1	1	1	0.22862747840774347	0.2596021	0.2594907
0.048198274436094396	0.04827679265004926	0.048276489880586713	0.048297078204040174	0.048248937859494585	0.04827931572890386	0.0478079036757121	0.04828809604331783	0.04830262897752027	0.1898463434885239	0.189730988323292	0.18984422410228602	0.2286310107181399	0.22850849000896098	0.22862747840774347	1	0.7445130351841328	0.7453363662759629
0.0484054	0.048428	0.0484271	0.0484001	0.0483819	0.0484334	0.0479377	0.0484383	0.048421	0.2116265	0.2115613	0.2116143	0.2596267	0.2595804	0.2596021	0.7445130351841328	1	1
0.0483255	0.048356	0.0483561	0.0483232	0.0483107	0.0483565	0.0478656	0.0483646	0.0483472	0.211538	0.2113909	0.2115304	0.2595155	0.2593805	0.2594907	0.7453363662759629	1	1
