True Kinship	Weir-Goudet	Standard	Popkin	Weir-Goudet	Standard	Popkin	Weir-Goudet	Standard	True Kinship	Weir-Goudet	Standard	Popkin	Weir-Goudet	Standard	Popkin	Weir-Goudet	Standard
1	0.5211855	0.4676021	0.4369083	0.4954588	0.4524376	0.2253515	0.3837369	0.4422192	0.0231161	0.0231173	0.0231143	0.0229903	0.0229907	0.0229957	0.02248465414291817	0.0231255	0.0230972
0.5211855	1	0.9406347	0.3590861	0.8700362	0.8594141	0.2014046	0.428471	0.7060015	0.0230988	0.0230928	0.023103	0.0229704	0.0229512	0.02297	0.0224961726127846	0.0231368	0.0231371
0.4676021	0.9406347	1	0.3406731	0.8139463	0.9146071	0.1954829	0.4072935	0.7185985	0.023093	0.0231058	0.0230906	0.02296	0.0229518	0.0229563	0.02250017903708597	0.023113	0.0231152
0.4369083	0.3590861	0.3406731	1	0.4008362	0.3541344	0.2594529	0.323607	0.3427496	0.0231024	0.0231073	0.0230977	0.0228135	0.0228026	0.0228055	0.022503684658349662	0.0231386	0.0231364
0.4954588	0.8700362	0.8139463	0.4008362	1	0.8860967	0.2071652	0.4566061	0.7291903	0.0230749	0.023066	0.0230787	0.0230099	0.0230025	0.0230149	0.022516705537329106	0.02314	0.0231405
0.4524376	0.8594141	0.9146071	0.3541344	0.8860967	1	0.1998774	0.4179835	0.7687858	0.0230863	0.0230949	0.0230865	0.0230454	0.0230441	0.0230404	0.022485755909601047	0.023145	0.023146
0.2253515	0.2014046	0.1954829	0.2594529	0.2071652	0.1998774	1	0.2365346	0.2033587	0.0227508	0.0227724	0.02275	0.0225809	0.0225818	0.0225811	0.02219388789924644	0.0228407	0.0228487
0.3837369	0.428471	0.4072935	0.323607	0.4566061	0.4179835	0.2365346	1	0.4680893	0.0231002	0.0231082	0.0231079	0.0229789	0.0229732	0.0229854	0.02250017903708597	0.0231551	0.0231398
0.4422192	0.7060015	0.7185985	0.3427496	0.7291903	0.7687858	0.2033587	0.4680893	1	0.0231002	0.0230945	0.0231083	0.0230207	0.0230141	0.0230146	0.022476240651885297	0.0231172	0.0231178
0.0231161	0.0230988	0.023093	0.0231024	0.0230749	0.0230863	0.0227508	0.0231002	0.0231002	1	0.9963842	0.9999996	0.1596723	0.1596041	0.1596866	0.11666757645885177	0.1384914	0.1386282
0.0231173	0.0230928	0.0231058	0.0231073	0.023066	0.0230949	0.0227724	0.0231082	0.0230945	0.9963842	1	0.9980445	0.1593143	0.1594348	0.1593656	0.11639554024878894	0.1384094	0.1384655
0.0231143	0.023103	0.0230906	0.0230977	0.0230787	0.0230865	0.02275	0.0231079	0.0231083	0.9999996	0.9980445	1	0.1596308	0.1595937	0.1596333	0.11663332153107508	0.1384729	0.138612
0.0229903	0.0229704	0.02296	0.0228135	0.0230099	0.0230454	0.0225809	0.0229789	0.0230207	0.1596723	0.1593143	0.1596308	1	0.9953369	0.9999944	0.14551853897725003	0.1785581	0.1789857
0.0229907	0.0229512	0.0229518	0.0228026	0.0230025	0.0230441	0.0225818	0.0229732	0.0230141	0.1596041	0.1594348	0.1595937	0.9953369	1	0.9978891	0.14504297641267772	0.1786676	0.1787941
0.0229957	0.02297	0.0229563	0.0228055	0.0230149	0.0230404	0.0225811	0.0229854	0.0230146	0.1596866	0.1593656	0.1596333	0.9999944	0.9978891	1	0.14545533763389595	0.1785854	0.1789593
0.02248465414291817	0.0224961726127846	0.02250017903708597	0.022503684658349662	0.022516705537329106	0.022485755909601047	0.02219388789924644	0.02250017903708597	0.022476240651885297	0.11666757645885177	0.11639554024878894	0.11663332153107508	0.14551853897725003	0.14504297641267772	0.14545533763389595	1	0.5570284951920405	0.5599183290406167
0.0231255	0.0231368	0.023113	0.0231386	0.02314	0.023145	0.0228407	0.0231551	0.0231172	0.1384914	0.1384094	0.1384729	0.1785581	0.1786676	0.1785854	0.5570284951920405	1	0.9936913
0.0230972	0.0231371	0.0231152	0.0231364	0.0231405	0.023146	0.0228487	0.0231398	0.0231178	0.1386282	0.1384655	0.138612	0.1789857	0.1787941	0.1789593	0.5599183290406167	0.9936913	1
